Tag,No.Economico,Fecha,Hora,Caseta,Carril,Clase,Importe,Fecha Aplicacion,Hora Aplicacion,Consecar
IMDM24319647..,HH59,31/01/2025,23:09:49,OCOTLAN,OCOTLAN 2,5,$674.00,01/02/2025,12:00:00,36093340
IMDM27492881..,HH277,31/01/2025,23:09:19,CHICHIMECO,CHICHIMECO 18,1,$232.00,01/02/2025,12:00:00,36093340
IMDM27291924..,TR180,31/01/2025,23:02:53,CHAPALA,CHAPALA 3,9,$244.00,01/02/2025,12:00:00,36093340
IMDM27492884..,HH248,31/01/2025,23:02:40,LINCOLN,LINCOLN 6,5,$548.00,01/02/2025,12:00:00,36091973
IMDM30057666..,HH-250,31/01/2025,23:01:15,CTO. EXT. MEXIQUENSE,A4 PACHUCA VÍA 532,1,$55.00,01/02/2025,12:00:00,36097579
IMDM27058358..,HH 117,31/01/2025,23:01:12,CHICHIMEQUILLAS,CHICHIMEQUILLAS 1,5,$110.00,01/02/2025,12:00:00,36093340
IMDM30057666..,HH-250,31/01/2025,23:00:37,ECATEPEC VIAPASS,ECATEPEC-PIRAMIDES 4,1,$514.00,01/02/2025,12:00:00,36093340
IMDM27492842..,TR288,31/01/2025,23:00:22,LIB. OTE. S.L.P.,LIB. OTE. S.L.P. 8,5,$285.00,01/02/2025,12:00:00,36093340
IMDM27291942..,HH159,31/01/2025,23:00:07,LAS VIGAS,LAS VIGAS 2,9,$649.00,01/02/2025,12:00:00,36093340
IMDM27383509..,TR 140,31/01/2025,22:59:26,LAS CHOAPAS,LAS CHOAPAS 5,5,$241.00,01/02/2025,12:00:00,36093340
IMDM27291935..,HH35,31/01/2025,22:59:24,MENDOZA,MENDOZA 7,9,$247.00,01/02/2025,12:00:00,36093340
IMDM27383471..,TR200,31/01/2025,22:58:22,AMOZOC-PEROTE,T2-CUAPIAXTLA,1,$241.00,01/02/2025,12:00:00,36097579
IMDM27383503..,HH 215,31/01/2025,22:57:38,AMOZOC-PEROTE,T3-CANTONA,1,$542.00,01/02/2025,12:00:00,36097579
IMDM27383489..,TR 237,31/01/2025,22:57:19,VENTURA - EL PEYOTE,VENTURA - PEYOTE 8,5,$312.00,01/02/2025,12:00:00,36093340
IMDM30193887.., ,31/01/2025,22:56:46,LA ANTIGUA,LA ANTIGUA 06,1,$431.00,01/02/2025,12:00:00,36097579
IMDM27058335..,111,31/01/2025,22:56:21,ACATLAN II,ACATLAN II 13,5,$285.00,01/02/2025,12:00:00,36093340
IMDM27492859.., ,31/01/2025,22:53:13,PALMILLAS,PALMILLAS 2,9,$641.00,01/02/2025,12:00:00,36093340
IMDM27058346..,TR137,31/01/2025,22:52:52,TEPATITLAN,TEPATITLAN 7,5,$638.00,01/02/2025,12:00:00,36093340
IMDM30057659..,TR-255,31/01/2025,22:52:51,ACAYUCAN (SAYULA),SAYULA 4,5,$495.00,01/02/2025,12:00:00,36093340
IMDM30057666..,HH-250,31/01/2025,22:52:34,CTO. EXT. MEXIQUENSE,TULTEPEC,1,$420.00,01/02/2025,12:00:00,36097579
IMDM27291919..,HH176,31/01/2025,22:49:33,LAS VIGAS,LAS VIGAS 7,9,$649.00,01/02/2025,12:00:00,36093340
IMDM27383507..,TR-212,31/01/2025,22:48:15,JALOSTOTITLAN,JALOSTOTITLAN 2,4,$329.00,01/02/2025,12:00:00,36093340
IMDM27492891..,TR294,31/01/2025,22:48:11,PLAN DE RIO,PLAN DEL RÍO 02,1,$258.00,01/02/2025,12:00:00,36097579
IMDM27492847..,TR296,31/01/2025,22:47:32,PLAN DE RIO,PLAN DEL RÍO 01,1,$221.00,01/02/2025,12:00:00,36097579
IMDM30057666..,HH-250,31/01/2025,22:43:40,CTO. EXT. MEXIQUENSE,T5 TULTITLAN,1,$154.00,01/02/2025,12:00:00,36097579
IMDM27058344..,HH130,31/01/2025,22:43:14,TEPATITLAN,TEPATITLAN 7,5,$638.00,01/02/2025,12:00:00,36093340
IMDM27291904..,TR 183,31/01/2025,22:42:31,TEPATITLAN,TEPATITLAN 7,5,$638.00,01/02/2025,12:00:00,36093340
IMDM30057670..,TR-238,31/01/2025,22:40:31,SAN MARCOS II,SAN MARCOS II 11,9,$662.00,01/02/2025,12:00:00,36093340
IMDM27291932..,TR197,31/01/2025,22:36:52,TEPATITLAN,TEPATITLAN 7,9,$806.00,01/02/2025,12:00:00,36093340
IMDM27383502..,TR 214,31/01/2025,22:35:12,AMOZOC-PEROTE,T2-CUAPIAXTLA,1,$179.00,01/02/2025,12:00:00,36097579
IMDM27383476..,TR-210,31/01/2025,22:34:48,SAN MARCOS II,SAN MARCOS II 1,6,$499.00,01/02/2025,12:00:00,36093340
IMDM27492882..,HH291,31/01/2025,22:33:50,TEPOTZOTLAN,TEPOTZOTLAN 11,2,$234.00,01/02/2025,12:00:00,36093340
IMDM27492891..,TR294,31/01/2025,22:33:44,MIRADORES,MIRADORES 15,9,$659.00,01/02/2025,12:00:00,36093340
IMDM27492847..,TR296,31/01/2025,22:31:03,MIRADORES,MIRADORES 15,5,$472.00,01/02/2025,12:00:00,36093340
IMDM30057677..,HH 245,31/01/2025,22:30:19,LIB. SUR DE GUAD.,LIB. SUR DE GUAD. 3,5,$175.00,01/02/2025,12:00:00,36093340
IMDM27291942..,HH159,31/01/2025,22:29:42,AMOZOC-PEROTE,T3-CANTONA,1,$542.00,01/02/2025,12:00:00,36097579
IMDM30057660..,HH260,31/01/2025,22:29:20,LIB. MATEHUALA,LIB. MATEHUALA 7,5,$120.00,01/02/2025,12:00:00,36093340
IMDM27291924..,TR180,31/01/2025,22:28:01,ACATLAN II,ACATLAN II 15,9,$377.00,01/02/2025,12:00:00,36093340
IMDM27383509..,TR 140,31/01/2025,22:26:27,DOVALI,DOVALI 6,9,$70.00,01/02/2025,12:00:00,36093340
IMDM24206652..,HH60,31/01/2025,22:26:10,PANINDICUARO,PANINDICUARO 2,5,$666.00,01/02/2025,12:00:00,36093340
IMDM27058364..,TR102,31/01/2025,22:25:23,TEJOCOTAL EASYTRIP,TEJOCOTAL 5B,1,$262.00,01/02/2025,12:00:00,36093340
IMDM27058353..,HH 112,31/01/2025,22:25:15,ACAYUCAN (SAYULA),ACAYUCAN 7,5,$495.00,01/02/2025,12:00:00,36093340
IMDM27058335..,111,31/01/2025,22:24:59,SAYULA,SAYULA 15,5,$213.00,01/02/2025,12:00:00,36093340
IMDM30057683..,HH 233,31/01/2025,22:24:51,LAS CHOAPAS,LAS CHOAPAS 3,5,$241.00,01/02/2025,12:00:00,36093340
IMDM30193887.., ,31/01/2025,22:24:47,PLAN DE RIO,PLAN DEL RÍO 02,1,$258.00,01/02/2025,12:00:00,36097579
IMDM27383517..,HH65,31/01/2025,22:24:28,LEON,LEON 6,9,$488.00,01/02/2025,12:00:00,36093340
IMDM27291935..,HH35,31/01/2025,22:24:10,PUERTO INTERIOR,PUERTO INTERIOR 5,9,$376.00,01/02/2025,12:00:00,36093340
IMDM27383471..,TR200,31/01/2025,22:23:56,AMOZOC-PEROTE,T3-CANTONA,1,$542.00,01/02/2025,12:00:00,36097579
IMDM27492862..,TR290,31/01/2025,22:23:51,LEON,LEON 1,5,$411.00,01/02/2025,12:00:00,36093340
IMDM27492842..,TR288,31/01/2025,22:20:08,CALDERON,V. ARRIAGA-SLP,5,$382.00,01/02/2025,12:00:00,36093340
IMDM27383503..,HH 215,31/01/2025,22:19:46,LAS VIGAS,LAS VIGAS 7,9,$649.00,01/02/2025,12:00:00,36093340
IMDM27383515..,202,31/01/2025,22:15:13,SAN MARCOS II,SAN MARCOS II 1,6,$499.00,01/02/2025,12:00:00,36093340
IMDM27291937..,HH156,31/01/2025,22:15:03,SANCTORUM,SANCTURUM 7,9,$1610.00,01/02/2025,12:00:00,36093340
IMDM30193887.., ,31/01/2025,22:13:25,MIRADORES,MIRADORES 15,9,$659.00,01/02/2025,12:00:00,36093340
IMDM27383507..,TR-212,31/01/2025,22:10:46,ENCARNACION DE DIAZ,ENCARNACIÓN DIAZ 4B,4,$291.00,01/02/2025,12:00:00,36093340
IMDM27383480..,TR234,31/01/2025,22:10:08,CTO. EXT. MEXIQUENSE,TULTEPEC,1,$248.00,02/02/2025,12:00:00,36104580
IMDM27058346..,TR137,31/01/2025,22:08:12,LIB. SUR DE GUAD.,LIB. SUR DE GUAD. 4,5,$175.00,01/02/2025,12:00:00,36093340
IMDM27058360..,TR037,31/01/2025,22:05:23,PLAN DE RIO,PLAN DE RIO 7,1,$221.00,01/02/2025,12:00:00,36097579
IMDM27383517..,HH65,31/01/2025,22:05:18,PUERTO INTERIOR,PUERTO INTERIOR 10,5,$282.00,01/02/2025,12:00:00,36093340
IMDM30057663..,HH56,31/01/2025,22:03:59,MIRADORES,MIRADORES 10,9,$659.00,01/02/2025,12:00:00,36093340
IMDM27058357..,119,31/01/2025,22:02:35,LEON,LEON 2,5,$411.00,01/02/2025,12:00:00,36093340
IMDM27291935..,HH35,31/01/2025,22:02:10,LEON,LEON 2,9,$488.00,01/02/2025,12:00:00,36093340
IMDM27492881..,HH277,31/01/2025,22:01:33,ZACATECAS,ZACATECAS 1,5,$89.00,01/02/2025,12:00:00,36093340
IMDM27291942..,HH159,31/01/2025,22:00:54,AMOZOC-PEROTE,T2-CUAPIAXTLA,1,$241.00,01/02/2025,12:00:00,36097579
IMDM24319647..,HH59,31/01/2025,21:58:24,LIB. SUR DE GUAD.,LIB. SUR DE GUAD. 4,5,$175.00,01/02/2025,12:00:00,36093340
IMDM27113083..,HH 123,31/01/2025,21:56:14,AMOZOC-PEROTE,T2-CUAPIAXTLA,1,$241.00,01/02/2025,12:00:00,36097579
IMDM27383486.., ,31/01/2025,21:55:29,PLAN DE RIO,PLAN DEL RÍO 01,1,$104.00,01/02/2025,12:00:00,36097579
IMDM27383480..,TR234,31/01/2025,21:54:02,ECATEPEC VIAPASS,Piramides-Ecatepec,1,$415.00,01/02/2025,12:00:00,36093340
IMDM27383471..,TR200,31/01/2025,21:53:51,LAS VIGAS,LAS VIGAS 7,9,$649.00,01/02/2025,12:00:00,36093340
IMDM24206652..,HH60,31/01/2025,21:53:25,ECUANDUREO,ECUANDUREO 3,5,$351.00,01/02/2025,12:00:00,36093340
IMDM27291924..,TR180,31/01/2025,21:53:08,SAYULA,SAYULA 15,9,$286.00,01/02/2025,12:00:00,36093340
IMDM27492891..,TR294,31/01/2025,21:51:51,LAS VIGAS,LAS VIGAS 2,9,$649.00,01/02/2025,12:00:00,36093340
IMDM24206630..,HR-80,31/01/2025,21:51:29,CERRO GORDO,CERRO GORDO 24,2,$122.00,01/02/2025,12:00:00,36093340
IMDM27492847..,TR296,31/01/2025,21:51:02,LAS VIGAS,LAS VIGAS 2,5,$330.00,01/02/2025,12:00:00,36093340
IMDM27113041..,TR026,31/01/2025,21:50:06,LINCOLN,LINCOLN 5,5,$548.00,01/02/2025,12:00:00,36091973
IMDM27113043..,TR147,31/01/2025,21:48:49,CHAPALA,CHAPALA 4,4,$141.00,01/02/2025,12:00:00,36093340
IMDM27291936..,TR193,31/01/2025,21:47:17,TEJOCOTAL EASYTRIP,TEJOCOTAL 3,1,$262.00,01/02/2025,12:00:00,36093340
IMDM27291932..,TR197,31/01/2025,21:45,LIB. SUR DE GUAD.,LIB. SUR DE GUAD. 2,9,$190.00,01/02/2025,12:00:00,36093340
IMDM27492845..,TR216,31/01/2025,21:44:46,ARMERIA VIAPASS,Manzanillo-Armeria,1,$1047.00,01/02/2025,12:00:00,36093340
IMDM30193887.., ,31/01/2025,21:42:43,LAS VIGAS,LAS VIGAS 2,9,$649.00,01/02/2025,12:00:00,36093340
IMDM27383509..,TR 140,31/01/2025,21:42:07,ACAYUCAN (SAYULA),ACAYUCAN 7,5,$495.00,01/02/2025,12:00:00,36093340
IMDM27383476..,TR-210,31/01/2025,21:41:51,SAYULA,SAYULA 2,6,$213.00,01/02/2025,12:00:00,36093340
IMDM27383510..,HC-17,31/01/2025,21:40:12,MENDOZA,MENDOZA 5,1,$67.00,01/02/2025,12:00:00,36093340
IMDM27383486.., ,31/01/2025,21:39:53,MIRADORES,MIRADORES 15,4,$372.00,01/02/2025,12:00:00,36093340
IMDM24206630..,HR-80,31/01/2025,21:38:39,MENDOZA,MENDOZA 9,2,$136.00,01/02/2025,12:00:00,36093340
IMDM27291905..,TR 182,31/01/2025,21:37:46,LIB. OTE. S.L.P.,LIB. OTE. S.L.P. 6,5,$285.00,01/02/2025,12:00:00,36093340
IMDM27383515..,202,31/01/2025,21:37:10,SAYULA,SAYULA 1,6,$213.00,01/02/2025,12:00:00,36093340
IMDM30193916..,TR187,31/01/2025,21:37:08,PALMILLAS BIS,PALMILLAS BIS 5,5,$440.00,01/02/2025,12:00:00,36093340
IMDM27383489..,TR 237,31/01/2025,21:35:26,LIB. MATEHUALA,LIB. MATEHUALA 3,5,$120.00,01/02/2025,12:00:00,36093340
IMDM27383517..,HH65,31/01/2025,21:34:07,MENDOZA,MENDOZA 2,5,$185.00,01/02/2025,12:00:00,36093340
IMDM30193916..,TR187,31/01/2025,21:34:03,ATLACOMULCO-LIB QRO,APASEO GDE-PALMILLAS,5,$636.00,01/02/2025,12:00:00,36093340
IMDM27058360..,TR037,31/01/2025,21:33:10,LA ANTIGUA,LA ANTIGUA 02,1,$300.00,01/02/2025,12:00:00,36097579
IMDM27291919..,HH176,31/01/2025,21:33:04,MIRADORES,MIRADORES 10,9,$659.00,01/02/2025,12:00:00,36093340
IMDM24319647..,HH59,31/01/2025,21:32:30,CHAPALA,CHAPALA 11,5,$190.00,01/02/2025,12:00:00,36093340
IMDM27383510..,HC-17,31/01/2025,21:30:55,CERRO GORDO,CERRO GORDO 19,1,$58.00,01/02/2025,12:00:00,36093340
IMDM27492849..,TR297,31/01/2025,21:29:12,ENCARNACION DE DIAZ,ENCARNACION DIAZ 1,9,$494.00,01/02/2025,12:00:00,36093340
IMDM27492884..,HH248,31/01/2025,21:28:43,APODACA,APODACA 11,5,$202.00,01/02/2025,12:00:00,36091973
IMDM27058335..,111,31/01/2025,21:28:39,SAN MARCOS II,SAN MARCOS II 10,5,$499.00,01/02/2025,12:00:00,36093340
IMDM30057663..,HH56,31/01/2025,21:26:30,PLAN DE RIO,PLAN DE RIO 8,1,$258.00,01/02/2025,12:00:00,36097579
IMDM27383517..,HH65,31/01/2025,21:25:35,CERRO GORDO,CERRO GORDO 19,5,$212.00,01/02/2025,12:00:00,36093340
IMDM27113043..,TR147,31/01/2025,21:25:21,LIB. SUR DE GUAD.,LIB. SUR DE GUAD. 8,4,$113.00,01/02/2025,12:00:00,36093340
IMDM27492891..,TR294,31/01/2025,21:20:53,AMOZOC-PEROTE,T3-CANTONA,1,$542.00,01/02/2025,12:00:00,36097579
IMDM27113083..,HH 123,31/01/2025,21:20:04,AMOZOC-PEROTE,T3-CANTONA,1,$542.00,01/02/2025,12:00:00,36097579
IMDM27291932..,TR197,31/01/2025,21:19:07,CHAPALA,CHAPALA 11,9,$213.00,01/02/2025,12:00:00,36093340
IMDM27383488..,TR236,31/01/2025,21:19:02,TORREON,TORREON 6,7,$275.00,01/02/2025,12:00:00,36093340
IMDM27492847..,TR296,31/01/2025,21:18:34,AMOZOC-PEROTE,T3-CANTONA,1,$382.00,01/02/2025,12:00:00,36097579
IMDM30193887.., ,31/01/2025,21:14:49,AMOZOC-PEROTE,T3-CANTONA,1,$542.00,01/02/2025,12:00:00,36097579
IMDM27058364..,TR102,31/01/2025,21:14:45,EL PIÑAL,EL PIÑAL 7,1,$678.00,01/02/2025,12:00:00,36093340
IMDM27291944..,H3-11,31/01/2025,21:13:11,CHICHIMEQUILLAS,CHICHIMEQUILLAS 5,2,$102.00,01/02/2025,12:00:00,36093340
IMDM24206652..,HH60,31/01/2025,21:13:02,OCOTLAN,OCOTLAN 1,5,$674.00,01/02/2025,12:00:00,36093340
IMDM30057683..,HH 233,31/01/2025,21:11:30,MALPASITO,MALPASITO 1,5,$241.00,01/02/2025,12:00:00,36093340
IMDM27492889..,HH63,31/01/2025,21:10:01,PASO DEL TORO,PASO DEL TORO 8,5,$222.00,01/02/2025,12:00:00,36093340
IMDM27383476..,TR-210,31/01/2025,21:08:52,ACATLAN II,ACATLAN II 1,6,$285.00,01/02/2025,12:00:00,36093340
IMDM27383515..,202,31/01/2025,21:08:19,ACATLAN II,ACATLAN II 1,6,$285.00,01/02/2025,12:00:00,36093340
IMDM27058353..,HH 112,31/01/2025,21:07:40,COSAMALOAPAN,COSAMALOAPAN 6,5,$512.00,01/02/2025,12:00:00,36093340
IMDM27291919..,HH176,31/01/2025,21:07:18,PLAN DE RIO,PLAN DE RIO 7,1,$258.00,01/02/2025,12:00:00,36097579
IMDM30057669..,HH-126,31/01/2025,21:06:41,LIB. ARCO NT. SLP,LIB. ARCO NT. SLP 4,5,$266.00,01/02/2025,12:00:00,36093340
IMDM27291929..,HH208,31/01/2025,21:06:12,LIB. ARCO NT. SLP,LIB. ARCO NT. SLP 3,5,$266.00,01/02/2025,12:00:00,36093340
IMDM24319647..,HH59,31/01/2025,21:02:49,ACATLAN II,ACATLAN II 14,5,$285.00,01/02/2025,12:00:00,36093340
IMDM27492862..,TR290,31/01/2025,21:02:44,JALOSTOTITLAN,JALOSTOTITLAN 5,5,$502.00,01/02/2025,12:00:00,36093340
IMDM27058358..,HH 117,31/01/2025,21:02:32,LIB. OTE. S.L.P.,LIB. OTE. S.L.P. 3,5,$285.00,01/02/2025,12:00:00,36093340
IMDM27383488..,TR236,31/01/2025,21:00:51,OJO CALIENTE I,OJO CALIENTE I 2BIS,7,$230.00,01/02/2025,12:00:00,36093340
IMDM27383503..,HH 215,31/01/2025,21:00:21,MIRADORES,MIRADORES 10,9,$659.00,01/02/2025,12:00:00,36093340
IMDM30057658..,TR-264,31/01/2025,21:00:03,PERIFERICO,PERIFERICO 2,5,$322.00,01/02/2025,12:00:00,36093340
IMDM27113043..,TR147,31/01/2025,20:55:24,TEPATITLAN,TEPATITLAN 2,4,$368.00,01/02/2025,12:00:00,36093340
IMDM27492842..,TR288,31/01/2025,20:55:03,LAGOS DE MORENO,LAGOS DE MORENO 5,5,$403.00,01/02/2025,12:00:00,36093340
IMDM30057669..,HH-126,31/01/2025,20:51:30,LIB. PTE. S.L.P.,LIB. PTE. S.L.P. 4,5,$227.00,01/02/2025,12:00:00,36093340
IMDM27383480..,TR234,31/01/2025,20:51:27,TULANCINGO,TULANCINGO 3,5,$614.00,01/02/2025,12:00:00,36093340
IMDM27291929..,HH208,31/01/2025,20:50:49,LIB. PTE. S.L.P.,LIB. PTE. S.L.P. 4,5,$227.00,01/02/2025,12:00:00,36093340
IMDM27492891..,TR294,31/01/2025,20:49:20,AMOZOC-PEROTE,T2-CUAPIAXTLA,1,$241.00,01/02/2025,12:00:00,36097579
IMDM27492847..,TR296,31/01/2025,20:46:36,AMOZOC-PEROTE,T2-CUAPIAXTLA,1,$179.00,01/02/2025,12:00:00,36097579
IMDM27383515..,202,31/01/2025,20:45:23,CHAPALA,CHAPALA 4,6,$217.00,01/02/2025,12:00:00,36093340
IMDM27383510..,HC-17,31/01/2025,20:43:43,QUERETARO,QUERETARO 10,3,$197.00,01/02/2025,12:00:00,36093340
IMDM27113083..,HH 123,31/01/2025,20:43:16,LAS VIGAS,LAS VIGAS 7,9,$649.00,01/02/2025,12:00:00,36093340
IMDM27113082..,HH 125,31/01/2025,20:42:48,CTO. EXT. MEXIQUENSE,A34  - A36,1,$135.00,01/02/2025,12:00:00,36097579
IMDM24206652..,HH60,31/01/2025,20:42:02,LIB. SUR DE GUAD.,LIB. SUR DE GUAD. 2,5,$175.00,01/02/2025,12:00:00,36093340
IMDM27383471..,TR200,31/01/2025,20:41:48,MIRADORES,MIRADORES 10,9,$659.00,01/02/2025,12:00:00,36093340
IMDM27291932..,TR197,31/01/2025,20:41:18,ACATLAN II,ACATLAN II 15,9,$377.00,01/02/2025,12:00:00,36093340
IMDM27383517..,HH65,31/01/2025,20:39:33,LIB. SUR PTE. QRO,LIB SUR PTE QRO 7,9,$486.00,01/02/2025,12:00:00,36093340
IMDM27383482..,HH-265,31/01/2025,20:37:33,TLALPAN,TLALPAN 12,5,$467.00,01/02/2025,12:00:00,36093340
IMDM27383476..,TR-210,31/01/2025,20:35:49,CHAPALA,CHAPALA 4,6,$217.00,01/02/2025,12:00:00,36093340
IMDM30193887.., ,31/01/2025,20:35:41,AMOZOC-PEROTE,T2-CUAPIAXTLA,1,$241.00,01/02/2025,12:00:00,36097579
IMDM30057670..,TR-238,31/01/2025,20:33:15,ARMERIA VIAPASS,Manzanillo-Armeria,1,$1047.00,01/02/2025,12:00:00,36093340
IMDM27383503..,HH 215,31/01/2025,20:31:11,PLAN DE RIO,PLAN DE RIO 7,1,$258.00,01/02/2025,12:00:00,36097579
IMDM27058341..,TR127,31/01/2025,20:29:53,CHAPALA,CHAPALA 10,5,$217.00,01/02/2025,12:00:00,36093340
IMDM24319647..,HH59,31/01/2025,20:29:04,SAYULA,SAYULA 15,5,$213.00,01/02/2025,12:00:00,36093340
IMDM27291936..,TR193,31/01/2025,20:25:39,EL PIÑAL,EL PIÑAL 7,1,$678.00,01/02/2025,12:00:00,36093340
